Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,All Students,15635,287,7979,51,5105,32.7,2393,15.3,158,1,2551,16.3
BRONX,3,2014,All Students,15647,285,8021,51.3,4949,31.6,2504,16,173,1.1,2677,17.1
BRONX,3,2015,All Students,15348,287,7540,49.1,5061,33,2469,16.1,278,1.8,2747,17.9
BRONX,4,2013,All Students,15254,285,7012,46,5946,39,1821,11.9,475,3.1,2296,15.1
BRONX,4,2014,All Students,14786,287,6627,44.8,5497,37.2,2085,14.1,577,3.9,2662,18
BRONX,4,2015,All Students,15428,287,6689,43.4,5960,38.6,2123,13.8,656,4.3,2779,18
BRONX,5,2013,All Students,14893,288,7190,48.3,5306,35.6,1935,13,462,3.1,2397,16.1
BRONX,5,2014,All Students,14543,286,7246,49.8,5062,34.8,1747,12,488,3.4,2235,15.4
BRONX,5,2015,All Students,14288,287,6825,47.8,5158,36.1,1747,12.2,558,3.9,2305,16.1
BRONX,6,2013,All Students,15077,282,7303,48.4,6040,40.1,1212,8,522,3.5,1734,11.5
BRONX,6,2014,All Students,14211,284,6049,42.6,6308,44.4,1196,8.4,658,4.6,1854,13
BRONX,6,2015,All Students,13844,287,5926,42.8,5677,41,1459,10.5,782,5.6,2241,16.2
BRONX,7,2013,All Students,15225,283,7780,51.1,5444,35.8,1743,11.4,258,1.7,2001,13.1
BRONX,7,2014,All Students,14533,282,7426,51.1,5151,35.4,1739,12,217,1.5,1956,13.5
BRONX,7,2015,All Students,14187,283,7342,51.8,4799,33.8,1830,12.9,216,1.5,2046,14.4
BRONX,8,2013,All Students,15265,279,7831,51.3,5437,35.6,1682,11,315,2.1,1997,13.1
BRONX,8,2014,All Students,14883,284,6378,42.9,6123,41.1,1963,13.2,419,2.8,2382,16
BRONX,8,2015,All Students,14355,286,5766,40.2,5865,40.9,2297,16,427,3,2724,19
BRONX,All Grades,2013,All Students,91349,284,45095,49.4,33278,36.4,10786,11.8,2190,2.4,12976,14.2
BRONX,All Grades,2014,All Students,88603,285,41747,47.1,33090,37.3,11234,12.7,2532,2.9,13766,15.5
BRONX,All Grades,2015,All Students,87450,286,40088,45.8,32520,37.2,11925,13.6,2917,3.3,14842,17
BROOKLYN,3,2013,All Students,21569,297,8460,39.2,7193,33.3,5207,24.1,709,3.3,5916,27.4
BROOKLYN,3,2014,All Students,20917,297,7954,38,6538,31.3,5588,26.7,837,4,6425,30.7
BROOKLYN,3,2015,All Students,20587,299,7537,36.6,6741,32.7,5226,25.4,1083,5.3,6309,30.6
BROOKLYN,4,2013,All Students,20962,297,6978,33.3,8228,39.3,3940,18.8,1816,8.7,5756,27.5
BROOKLYN,4,2014,All Students,20532,299,6561,32,7448,36.3,4331,21.1,2192,10.7,6523,31.8
BROOKLYN,4,2015,All Students,20200,299,6322,31.3,7392,36.6,4130,20.4,2356,11.7,6486,32.1
BROOKLYN,5,2013,All Students,20519,299,7407,36.1,7280,35.5,4147,20.2,1685,8.2,5832,28.4
BROOKLYN,5,2014,All Students,19378,299,6700,34.6,6834,35.3,3848,19.9,1996,10.3,5844,30.2
BROOKLYN,5,2015,All Students,18943,298,6606,34.9,6773,35.8,3697,19.5,1867,9.9,5564,29.4
BROOKLYN,6,2013,All Students,20346,294,7183,35.3,8336,41,2650,13,2177,10.7,4827,23.7
BROOKLYN,6,2014,All Students,19466,297,5758,29.6,8654,44.5,2602,13.4,2452,12.6,5054,26
BROOKLYN,6,2015,All Students,18642,300,5567,29.9,7139,38.3,2957,15.9,2979,16,5936,31.8
BROOKLYN,7,2013,All Students,20825,295,7828,37.6,7637,36.7,3997,19.2,1363,6.5,5360,25.7
BROOKLYN,7,2014,All Students,19727,296,7152,36.3,7006,35.5,4291,21.8,1278,6.5,5569,28.2
BROOKLYN,7,2015,All Students,19220,295,7171,37.3,6509,33.9,4351,22.6,1189,6.2,5540,28.8
BROOKLYN,8,2013,All Students,20838,291,7900,37.9,7724,37.1,3847,18.5,1367,6.6,5214,25
BROOKLYN,8,2014,All Students,20620,296,6493,31.5,8083,39.2,4292,20.8,1752,8.5,6044,29.3
BROOKLYN,8,2015,All Students,19272,300,5271,27.4,7422,38.5,4724,24.5,1855,9.6,6579,34.1
BROOKLYN,All Grades,2013,All Students,125059,296,45756,36.6,46398,37.1,23788,19,9117,7.3,32905,26.3
BROOKLYN,All Grades,2014,All Students,120640,297,40618,33.7,44563,36.9,24952,20.7,10507,8.7,35459,29.4
BROOKLYN,All Grades,2015,All Students,116864,299,38474,32.9,41976,35.9,25085,21.5,11329,9.7,36414,31.2
MANHATTAN,3,2013,All Students,9148,301,3319,36.3,2702,29.5,2571,28.1,556,6.1,3127,34.2
MANHATTAN,3,2014,All Students,9102,301,3223,35.4,2553,28,2760,30.3,566,6.2,3326,36.5
MANHATTAN,3,2015,All Students,8604,303,2826,32.8,2576,29.9,2520,29.3,682,7.9,3202,37.2
MANHATTAN,4,2013,All Students,8806,301,2670,30.3,3182,36.1,1791,20.3,1163,13.2,2954,33.5
