Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,ELL,2829,270,2033,71.9,681,24.1,115,4.1,0,0,115,4.1
BRONX,3,2013,EP,12067,290,5711,47.3,4131,34.2,2080,17.2,145,1.2,2225,18.4
BRONX,3,2013,Former ELL,739,303,235,31.8,293,39.6,198,26.8,13,1.8,211,28.6
BRONX,3,2014,ELL,2399,264,1835,76.5,475,19.8,87,3.6,2,0.1,89,3.7
BRONX,3,2014,EP,12160,288,5780,47.5,4026,33.1,2195,18.1,159,1.3,2354,19.4
BRONX,3,2014,Former ELL,1088,296,406,37.3,448,41.2,222,20.4,12,1.1,234,21.5
BRONX,3,2015,ELL,2432,265,1858,76.4,470,19.3,97,4,7,0.3,104,4.3
BRONX,3,2015,EP,11874,291,5353,45.1,4093,34.5,2178,18.3,250,2.1,2428,20.4
BRONX,3,2015,Former ELL,1042,299,329,31.6,498,47.8,194,18.6,21,2,215,20.6
BRONX,4,2013,ELL,2739,262,2018,73.7,663,24.2,55,2,3,0.1,58,2.1
BRONX,4,2013,EP,11782,289,4839,41.1,4883,41.4,1610,13.7,450,3.8,2060,17.5
BRONX,4,2013,Former ELL,733,302,155,21.1,400,54.6,156,21.3,22,3,178,24.3
BRONX,4,2014,ELL,2572,264,1915,74.5,568,22.1,85,3.3,4,0.2,89,3.5
BRONX,4,2014,EP,11633,291,4583,39.4,4626,39.8,1881,16.2,543,4.7,2424,20.8
BRONX,4,2014,Former ELL,581,302,129,22.2,303,52.2,119,20.5,30,5.2,149,25.6
BRONX,4,2015,ELL,2442,263,1749,71.6,606,24.8,79,3.2,8,0.3,87,3.6
BRONX,4,2015,EP,12232,291,4738,38.7,4983,40.7,1894,15.5,617,5,2511,20.5
BRONX,4,2015,Former ELL,754,299,202,26.8,371,49.2,150,19.9,31,4.1,181,24
BRONX,5,2013,ELL,2771,265,2158,77.9,543,19.6,65,2.3,5,0.2,70,2.5
BRONX,5,2013,EP,11312,292,4785,42.3,4340,38.4,1749,15.5,438,3.9,2187,19.3
BRONX,5,2013,Former ELL,810,299,247,30.5,423,52.2,121,14.9,19,2.3,140,17.3
BRONX,5,2014,ELL,2345,259,1949,83.1,370,15.8,26,1.1,0,0,26,1.1
BRONX,5,2014,EP,11257,291,4967,44.1,4219,37.5,1604,14.2,467,4.1,2071,18.4
BRONX,5,2014,Former ELL,941,296,330,35.1,473,50.3,117,12.4,21,2.2,138,14.7
BRONX,5,2015,ELL,2229,258,1815,81.4,378,17,33,1.5,3,0.1,36,1.6
BRONX,5,2015,EP,11216,291,4730,42.2,4356,38.8,1594,14.2,536,4.8,2130,19
BRONX,5,2015,Former ELL,843,297,280,33.2,424,50.3,120,14.2,19,2.3,139,16.5
BRONX,6,2013,ELL,2334,256,1971,84.4,349,15,12,0.5,2,0.1,14,0.6
