Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,Asian,567,309,148,26.1,183,32.3,201,35.4,35,6.2,236,41.6
BRONX,3,2013,Black,4447,285,2382,53.6,1445,32.5,585,13.2,35,0.8,620,13.9
BRONX,3,2013,Hispanic,9760,285,5138,52.6,3200,32.8,1358,13.9,64,0.7,1422,14.6
BRONX,3,2013,White,690,301,237,34.3,222,32.2,213,30.9,18,2.6,231,33.5
BRONX,3,2014,Asian,594,306,155,26.1,210,35.4,201,33.8,28,4.7,229,38.6
BRONX,3,2014,Black,4388,283,2362,53.8,1342,30.6,642,14.6,42,1,684,15.6
BRONX,3,2014,Hispanic,9751,283,5192,53.2,3096,31.8,1393,14.3,70,0.7,1463,15
BRONX,3,2014,White,696,302,208,29.9,237,34.1,224,32.2,27,3.9,251,36.1
BRONX,3,2015,Asian,535,308,142,26.5,176,32.9,176,32.9,41,7.7,217,40.6
BRONX,3,2015,Black,4210,287,2122,50.4,1374,32.6,667,15.8,47,1.1,714,17
BRONX,3,2015,Hispanic,9683,285,4936,51,3199,33,1413,14.6,135,1.4,1548,16
BRONX,3,2015,White,633,299,232,36.7,205,32.4,148,23.4,48,7.6,196,31
BRONX,4,2013,Asian,611,307,140,22.9,228,37.3,161,26.4,82,13.4,243,39.8
BRONX,4,2013,Black,4284,284,2007,46.8,1724,40.2,446,10.4,107,2.5,553,12.9
BRONX,4,2013,Hispanic,9586,283,4630,48.3,3695,38.5,1045,10.9,216,2.3,1261,13.2
BRONX,4,2013,White,647,301,185,28.6,257,39.7,142,21.9,63,9.7,205,31.7
BRONX,4,2014,Asian,552,308,125,22.6,200,36.2,132,23.9,95,17.2,227,41.1
BRONX,4,2014,Black,4134,286,1868,45.2,1613,39,517,12.5,136,3.3,653,15.8
BRONX,4,2014,Hispanic,9279,285,4376,47.2,3372,36.3,1259,13.6,272,2.9,1531,16.5
BRONX,4,2014,White,657,300,193,29.4,259,39.4,147,22.4,58,8.8,205,31.2
BRONX,4,2015,Asian,614,308,131,21.3,237,38.6,154,25.1,92,15,246,40.1
BRONX,4,2015,Black,4229,286,1924,45.5,1607,38,541,12.8,157,3.7,698,16.5
BRONX,4,2015,Hispanic,9690,284,4404,45.4,3754,38.7,1215,12.5,317,3.3,1532,15.8
BRONX,4,2015,White,673,304,152,22.6,273,40.6,176,26.2,72,10.7,248,36.8
BRONX,5,2013,Asian,573,309,139,24.3,217,37.9,152,26.5,65,11.3,217,37.9
BRONX,5,2013,Black,4245,287,2045,48.2,1577,37.1,527,12.4,96,2.3,623,14.7
