Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,Female,7553,292,3378,44.7,2681,35.5,1385,18.3,109,1.4,1494,19.8
BRONX,3,2013,Male,8082,282,4601,56.9,2424,30,1008,12.5,49,0.6,1057,13.1
BRONX,3,2014,Female,7498,290,3433,45.8,2528,33.7,1417,18.9,120,1.6,1537,20.5
BRONX,3,2014,Male,8149,280,4588,56.3,2421,29.7,1087,13.3,53,0.7,1140,14
BRONX,3,2015,Female,7581,292,3268,43.1,2682,35.4,1451,19.1,180,2.4,1631,21.5
BRONX,3,2015,Male,7767,282,4272,55,2379,30.6,1018,13.1,98,1.3,1116,14.4
BRONX,4,2013,Female,7418,291,2968,40,3064,41.3,1085,14.6,301,4.1,1386,18.7
BRONX,4,2013,Male,7836,280,4044,51.6,2882,36.8,736,9.4,174,2.2,910,11.6
BRONX,4,2014,Female,7271,292,2901,39.9,2813,38.7,1204,16.6,353,4.9,1557,21.4
BRONX,4,2014,Male,7515,283,3726,49.6,2684,35.7,881,11.7,224,3,1105,14.7
BRONX,4,2015,Female,7496,291,2865,38.2,3001,40,1208,16.1,422,5.6,1630,21.7
BRONX,4,2015,Male,7932,283,3824,48.2,2959,37.3,915,11.5,234,3,1149,14.5
BRONX,5,2013,Female,7240,292,3076,42.5,2799,38.7,1093,15.1,272,3.8,1365,18.9
BRONX,5,2013,Male,7653,283,4114,53.8,2507,32.8,842,11,190,2.5,1032,13.5
BRONX,5,2014,Female,7148,291,3144,44,2697,37.7,1008,14.1,299,4.2,1307,18.3
BRONX,5,2014,Male,7395,281,4102,55.5,2365,32,739,10,189,2.6,928,12.5
BRONX,5,2015,Female,7053,292,2857,40.5,2808,39.8,1012,14.3,376,5.3,1388,19.7
BRONX,5,2015,Male,7235,281,3968,54.8,2350,32.5,735,10.2,182,2.5,917,12.7
BRONX,6,2013,Female,7295,287,3107,42.6,3191,43.7,692,9.5,305,4.2,997,13.7
BRONX,6,2013,Male,7782,277,4196,53.9,2849,36.6,520,6.7,217,2.8,737,9.5
BRONX,6,2014,Female,6933,289,2504,36.1,3353,48.4,664,9.6,412,5.9,1076,15.5
BRONX,6,2014,Male,7278,279,3545,48.7,2955,40.6,532,7.3,246,3.4,778,10.7
BRONX,6,2015,Female,6767,292,2417,35.7,2999,44.3,860,12.7,491,7.3,1351,20
BRONX,6,2015,Male,7077,281,3509,49.6,2678,37.8,599,8.5,291,4.1,890,12.6
BRONX,7,2013,Female,7349,289,3244,44.1,2917,39.7,1027,14,161,2.2,1188,16.2
BRONX,7,2013,Male,7876,278,4536,57.6,2527,32.1,716,9.1,97,1.2,813,10.3
BRONX,7,2014,Female,7134,287,3144,44.1,2833,39.7,1006,14.1,151,2.1,1157,16.2
BRONX,7,2014,Male,7399,277,4282,57.9,2318,31.3,733,9.9,66,0.9,799,10.8
BRONX,7,2015,Female,6949,289,3065,44.1,2643,38,1098,15.8,143,2.1,1241,17.9
BRONX,7,2015,Male,7238,277,4277,59.1,2156,29.8,732,10.1,73,1,805,11.1
