Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,All Students,15901,287,7153,45,5729,36,2216,13.9,803,5,3019,19
BRONX,3,2014,All Students,16039,290,6564,40.9,5674,35.4,2784,17.4,1017,6.3,3801,23.7
BRONX,3,2015,All Students,15678,290,6629,42.3,5332,34,2523,16.1,1194,7.6,3717,23.7
BRONX,4,2013,All Students,15513,286,6739,43.4,5661,36.5,2303,14.8,810,5.2,3113,20.1
BRONX,4,2014,All Students,15095,290,6171,40.9,5143,34.1,2519,16.7,1262,8.4,3781,25
BRONX,4,2015,All Students,15799,287,6718,42.5,5421,34.3,2478,15.7,1182,7.5,3660,23.2
BRONX,5,2013,All Students,15263,286,8689,56.9,4103,26.9,1975,12.9,496,3.2,2471,16.2
BRONX,5,2014,All Students,14883,294,6813,45.8,4648,31.2,2464,16.6,958,6.4,3422,23
BRONX,5,2015,All Students,14620,293,6633,45.4,4418,30.2,2679,18.3,890,6.1,3569,24.4
BRONX,6,2013,All Students,15365,284,7184,46.8,5872,38.2,1582,10.3,727,4.7,2309,15
BRONX,6,2014,All Students,14558,286,6687,45.9,5129,35.2,1707,11.7,1035,7.1,2742,18.8
BRONX,6,2015,All Students,14145,287,6383,45.1,4845,34.3,1830,12.9,1087,7.7,2917,20.6
BRONX,7,2013,All Students,15568,282,9361,60.1,4382,28.1,1513,9.7,312,2,1825,11.7
BRONX,7,2014,All Students,14836,287,8187,55.2,4525,30.5,1712,11.5,412,2.8,2124,14.3
BRONX,7,2015,All Students,14441,287,7485,51.8,4547,31.5,1851,12.8,558,3.9,2409,16.7
BRONX,8,2013,All Students,15617,283,8112,51.9,5536,35.4,1590,10.2,379,2.4,1969,12.6
BRONX,8,2014,All Students,13685,282,7171,52.4,4808,35.1,1369,10,337,2.5,1706,12.5
BRONX,8,2015,All Students,13530,282,7223,53.4,4571,33.8,1232,9.1,504,3.7,1736,12.8
BRONX,All Grades,2013,All Students,93227,285,47238,50.7,31283,33.6,11179,12,3527,3.8,14706,15.8
BRONX,All Grades,2014,All Students,89096,288,41593,46.7,29927,33.6,12555,14.1,5021,5.6,17576,19.7
BRONX,All Grades,2015,All Students,88213,288,41071,46.6,29134,33,12593,14.3,5415,6.1,18008,20.4
BROOKLYN,3,2013,All Students,21919,299,7104,32.4,7592,34.6,4511,20.6,2712,12.4,7223,33
BROOKLYN,3,2014,All Students,21290,302,6332,29.7,6575,30.9,5157,24.2,3226,15.2,8383,39.4
BROOKLYN,3,2015,All Students,20945,303,6150,29.4,6323,30.2,4784,22.8,3688,17.6,8472,40.4
BROOKLYN,4,2013,All Students,21265,299,6601,31,7148,33.6,4612,21.7,2904,13.7,7516,35.3
BROOKLYN,4,2014,All Students,20850,304,6173,29.6,6299,30.2,4420,21.2,3958,19,8378,40.2
BROOKLYN,4,2015,All Students,20552,302,6152,29.9,6228,30.3,4366,21.2,3806,18.5,8172,39.8
BROOKLYN,5,2013,All Students,20777,300,8565,41.2,6062,29.2,4141,19.9,2009,9.7,6150,29.6
BROOKLYN,5,2014,All Students,19631,308,6256,31.9,5432,27.7,4579,23.3,3364,17.1,7943,40.5
BROOKLYN,5,2015,All Students,19202,309,5985,31.2,5212,27.1,4807,25,3198,16.7,8005,41.7
BROOKLYN,6,2013,All Students,20578,297,7001,34,7672,37.3,3137,15.2,2768,13.5,5905,28.7
BROOKLYN,6,2014,All Students,19776,301,6256,31.6,6890,34.8,3240,16.4,3390,17.1,6630,33.5
BROOKLYN,6,2015,All Students,18863,302,6019,31.9,6004,31.8,3294,17.5,3546,18.8,6840,36.3
BROOKLYN,7,2013,All Students,21203,296,9731,45.9,6284,29.6,3324,15.7,1864,8.8,5188,24.5
BROOKLYN,7,2014,All Students,19964,301,7931,39.7,6068,30.4,3771,18.9,2194,11,5965,29.9
BROOKLYN,7,2015,All Students,19419,304,6868,35.4,6137,31.6,3754,19.3,2660,13.7,6414,33
BROOKLYN,8,2013,All Students,21169,296,7950,37.6,7778,36.7,3661,17.3,1780,8.4,5441,25.7
BROOKLYN,8,2014,All Students,17752,295,7005,39.5,6620,37.3,2721,15.3,1406,7.9,4127,23.2
BROOKLYN,8,2015,All Students,17118,296,6703,39.2,6209,36.3,2505,14.6,1701,9.9,4206,24.6
BROOKLYN,All Grades,2013,All Students,126911,298,46952,37,42536,33.5,23386,18.4,14037,11.1,37423,29.5
BROOKLYN,All Grades,2014,All Students,119263,302,39953,33.5,37884,31.8,23888,20,17538,14.7,41426,34.7
BROOKLYN,All Grades,2015,All Students,116099,303,37877,32.6,36113,31.1,23510,20.2,18599,16,42109,36.3
MANHATTAN,3,2013,All Students,9298,304,2729,29.4,2846,30.6,1991,21.4,1732,18.6,3723,40
MANHATTAN,3,2014,All Students,9239,307,2496,27,2516,27.2,2287,24.8,1940,21,4227,45.8
MANHATTAN,3,2015,All Students,8810,309,2301,26.1,2413,27.4,1972,22.4,2124,24.1,4096,46.5
MANHATTAN,4,2013,All Students,8966,304,2651,29.6,2633,29.4,1898,21.2,1784,19.9,3682,41.1
MANHATTAN,4,2014,All Students,9110,308,2498,27.4,2446,26.8,1931,21.2,2235,24.5,4166,45.7
MANHATTAN,4,2015,All Students,9007,309,2423,26.9,2337,25.9,1915,21.3,2332,25.9,4247,47.2
MANHATTAN,5,2013,All Students,8312,303,3363,40.5,1998,24,1708,20.5,1243,15,2951,35.5
MANHATTAN,5,2014,All Students,8366,310,2655,31.7,2021,24.2,1922,23,1768,21.1,3690,44.1
MANHATTAN,5,2015,All Students,8258,313,2496,30.2,1859,22.5,1952,23.6,1951,23.6,3903,47.3
MANHATTAN,6,2013,All Students,8281,302,2521,30.4,2919,35.2,1379,16.7,1462,17.7,2841,34.3
MANHATTAN,6,2014,All Students,8126,305,2455,30.2,2447,30.1,1369,16.8,1855,22.8,3224,39.7
MANHATTAN,6,2015,All Students,8075,308,2322,28.8,2351,29.1,1417,17.5,1985,24.6,3402,42.1
MANHATTAN,7,2013,All Students,8667,300,3613,41.7,2472,28.5,1526,17.6,1056,12.2,2582,29.8
MANHATTAN,7,2014,All Students,8298,305,3014,36.3,2390,28.8,1664,20.1,1230,14.8,2894,34.9
MANHATTAN,7,2015,All Students,8005,307,2664,33.3,2286,28.6,1671,20.9,1384,17.3,3055,38.2
MANHATTAN,8,2013,All Students,8444,300,2942,34.8,2956,35,1552,18.4,994,11.8,2546,30.2
MANHATTAN,8,2014,All Students,7484,296,2815,37.6,2732,36.5,1313,17.5,624,8.3,1937,25.9
MANHATTAN,8,2015,All Students,6660,294,2685,40.3,2374,35.6,1007,15.1,594,8.9,1601,24
MANHATTAN,All Grades,2013,All Students,51968,302,17819,34.3,15824,30.4,10054,19.3,8271,15.9,18325,35.3
MANHATTAN,All Grades,2014,All Students,50623,305,15933,31.5,14552,28.7,10486,20.7,9652,19.1,20138,39.8
MANHATTAN,All Grades,2015,All Students,48815,307,14891,30.5,13620,27.9,9934,20.4,10370,21.2,20304,41.6
QUEENS,3,2013,All Students,21174,305,5407,25.5,7290,34.4,4993,23.6,3484,16.5,8477,40
QUEENS,3,2014,All Students,21031,308,4846,23,6549,31.1,5835,27.7,3801,18.1,9636,45.8
QUEENS,3,2015,All Students,21109,308,5044,23.9,6664,31.6,5157,24.4,4244,20.1,9401,44.5
QUEENS,4,2013,All Students,20690,307,4935,23.9,6909,33.4,5123,24.8,3723,18,8846,42.8
QUEENS,4,2014,All Students,20623,312,4505,21.8,6185,30,5007,24.3,4926,23.9,9933,48.2
QUEENS,4,2015,All Students,20697,310,4575,22.1,6377,30.8,4979,24.1,4766,23,9745,47.1
QUEENS,5,2013,All Students,20291,306,7016,34.6,5890,29,4646,22.9,2739,13.5,7385,36.4
QUEENS,5,2014,All Students,20450,315,5189,25.4,5750,28.1,5255,25.7,4256,20.8,9511,46.5
QUEENS,5,2015,All Students,20125,316,4863,24.2,5326,26.5,5568,27.7,4368,21.7,9936,49.4
QUEENS,6,2013,All Students,20380,306,5042,24.7,7893,38.7,3745,18.4,3700,18.2,7445,36.5
QUEENS,6,2014,All Students,19947,309,4904,24.6,6616,33.2,3873,19.4,4554,22.8,8427,42.2
QUEENS,6,2015,All Students,20042,310,4896,24.4,6513,32.5,4020,20.1,4613,23,8633,43.1
QUEENS,7,2013,All Students,20551,305,7134,34.7,6688,32.5,4404,21.4,2325,11.3,6729,32.7
QUEENS,7,2014,All Students,20286,309,6194,30.5,6417,31.6,4961,24.5,2714,13.4,7675,37.8
QUEENS,7,2015,All Students,19728,311,5606,28.4,6051,30.7,4718,23.9,3353,17,8071,40.9
