Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,ELL,3102,273,1956,63.1,884,28.5,229,7.4,33,1.1,262,8.4
BRONX,3,2013,EP,12062,289,5008,41.5,4523,37.5,1824,15.1,707,5.9,2531,21
BRONX,3,2013,Former ELL,737,302,189,25.6,322,43.7,163,22.1,63,8.5,226,30.7
BRONX,3,2014,ELL,2771,273,1718,62,756,27.3,243,8.8,54,1.9,297,10.7
BRONX,3,2014,EP,12177,292,4566,37.5,4423,36.3,2316,19,872,7.2,3188,26.2
BRONX,3,2014,Former ELL,1091,300,280,25.7,495,45.4,225,20.6,91,8.3,316,29
BRONX,3,2015,ELL,2766,273,1752,63.3,741,26.8,212,7.7,61,2.2,273,9.9
BRONX,3,2015,EP,11870,293,4587,38.6,4155,35,2082,17.5,1046,8.8,3128,26.4
BRONX,3,2015,Former ELL,1042,299,290,27.8,436,41.8,229,22,87,8.3,316,30.3
BRONX,4,2013,ELL,3017,270,1911,63.3,884,29.3,191,6.3,31,1,222,7.4
BRONX,4,2013,EP,11764,290,4666,39.7,4444,37.8,1939,16.5,715,6.1,2654,22.6
BRONX,4,2013,Former ELL,732,302,162,22.1,333,45.5,173,23.6,64,8.7,237,32.4
BRONX,4,2014,ELL,2887,269,1840,63.7,793,27.5,207,7.2,47,1.6,254,8.8
BRONX,4,2014,EP,11626,294,4217,36.3,4100,35.3,2167,18.6,1142,9.8,3309,28.5
BRONX,4,2014,Former ELL,582,307,114,19.6,250,43,145,24.9,73,12.5,218,37.5
BRONX,4,2015,ELL,2800,268,1818,64.9,734,26.2,208,7.4,40,1.4,248,8.9
BRONX,4,2015,EP,12245,290,4715,38.5,4355,35.6,2115,17.3,1060,8.7,3175,25.9
BRONX,4,2015,Former ELL,754,300,185,24.5,332,44,155,20.6,82,10.9,237,31.4
BRONX,5,2013,ELL,3143,267,2513,80,493,15.7,121,3.8,16,0.5,137,4.4
BRONX,5,2013,EP,11312,291,5837,51.6,3311,29.3,1712,15.1,452,4,2164,19.1
BRONX,5,2013,Former ELL,808,297,339,42,299,37,142,17.6,28,3.5,170,21
BRONX,5,2014,ELL,2670,273,1906,71.4,599,22.4,133,5,32,1.2,165,6.2
BRONX,5,2014,EP,11272,298,4612,40.9,3691,32.7,2110,18.7,859,7.6,2969,26.3
BRONX,5,2014,Former ELL,941,304,295,31.3,358,38,221,23.5,67,7.1,288,30.6
BRONX,5,2015,ELL,2598,272,1852,71.3,569,21.9,154,5.9,23,0.9,177,6.8
BRONX,5,2015,EP,11176,298,4508,40.3,3523,31.5,2315,20.7,830,7.4,3145,28.1
BRONX,5,2015,Former ELL,846,302,273,32.3,326,38.5,210,24.8,37,4.4,247,29.2
BRONX,6,2013,ELL,2664,263,1935,72.6,647,24.3,65,2.4,17,0.6,82,3.1
BRONX,6,2013,EP,11480,288,4805,41.9,4621,40.3,1391,12.1,663,5.8,2054,17.9
BRONX,6,2013,Former ELL,1221,291,444,36.4,604,49.5,126,10.3,47,3.8,173,14.2
BRONX,6,2014,ELL,2915,264,2095,71.9,688,23.6,108,3.7,24,0.8,132,4.5
