Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,Asian,586,313,118,20.1,174,29.7,167,28.5,127,21.7,294,50.2
BRONX,3,2013,Black,4474,284,2161,48.3,1643,36.7,517,11.6,153,3.4,670,15
BRONX,3,2013,Hispanic,9961,285,4640,46.6,3573,35.9,1336,13.4,412,4.1,1748,17.5
BRONX,3,2013,White,707,304,172,24.3,269,38,168,23.8,98,13.9,266,37.6
BRONX,3,2014,Asian,618,315,100,16.2,194,31.4,180,29.1,144,23.3,324,52.4
BRONX,3,2014,Black,4419,286,2012,45.5,1538,34.8,670,15.2,199,4.5,869,19.7
BRONX,3,2014,Hispanic,10061,288,4218,41.9,3640,36.2,1686,16.8,517,5.1,2203,21.9
BRONX,3,2014,White,721,309,157,21.8,224,31.1,210,29.1,130,18,340,47.2
BRONX,3,2015,Asian,564,318,82,14.5,169,30,156,27.7,157,27.8,313,55.5
BRONX,3,2015,Black,4238,287,1915,45.2,1429,33.7,646,15.2,248,5.9,894,21.1
BRONX,3,2015,Hispanic,9945,288,4390,44.1,3409,34.3,1515,15.2,631,6.3,2146,21.6
BRONX,3,2015,White,644,306,158,24.5,231,35.9,133,20.7,122,18.9,255,39.6
BRONX,4,2013,Asian,624,316,100,16,191,30.6,188,30.1,145,23.2,333,53.4
BRONX,4,2013,Black,4326,283,2047,47.3,1622,37.5,500,11.6,157,3.6,657,15.2
BRONX,4,2013,Hispanic,9778,285,4404,45,3549,36.3,1427,14.6,398,4.1,1825,18.7
BRONX,4,2013,White,659,305,142,21.5,253,38.4,168,25.5,96,14.6,264,40.1
BRONX,4,2014,Asian,579,320,86,14.9,179,30.9,133,23,181,31.3,314,54.2
BRONX,4,2014,Black,4153,288,1791,43.1,1439,34.6,663,16,260,6.3,923,22.2
BRONX,4,2014,Hispanic,9513,288,4078,42.9,3262,34.3,1501,15.8,672,7.1,2173,22.8
BRONX,4,2014,White,683,308,168,24.6,210,30.7,178,26.1,127,18.6,305,44.7
BRONX,4,2015,Asian,641,317,105,16.4,183,28.5,157,24.5,196,30.6,353,55.1
BRONX,4,2015,Black,4268,283,2019,47.3,1418,33.2,612,14.3,219,5.1,831,19.5
BRONX,4,2015,Hispanic,9970,285,4378,43.9,3516,35.3,1472,14.8,604,6.1,2076,20.8
BRONX,4,2015,White,694,308,143,20.6,224,32.3,186,26.8,141,20.3,327,47.1
BRONX,5,2013,Asian,601,315,157,26.1,146,24.3,194,32.3,104,17.3,298,49.6
BRONX,5,2013,Black,4293,285,2549,59.4,1158,27,486,11.3,100,2.3,586,13.7
BRONX,5,2013,Hispanic,9574,284,5679,59.3,2583,27,1097,11.5,215,2.2,1312,13.7
BRONX,5,2013,White,654,303,234,35.8,177,27.1,173,26.5,70,10.7,243,37.2
BRONX,5,2014,Asian,630,323,122,19.4,140,22.2,193,30.6,175,27.8,368,58.4
BRONX,5,2014,Black,4080,292,1934,47.4,1378,33.8,577,14.1,191,4.7,768,18.8
BRONX,5,2014,Hispanic,9391,291,4517,48.1,2918,31.1,1483,15.8,473,5,1956,20.8
BRONX,5,2014,White,640,312,178,27.8,174,27.2,185,28.9,103,16.1,288,45
BRONX,5,2015,Asian,607,321,122,20.1,140,23.1,193,31.8,152,25,345,56.8
BRONX,5,2015,Black,3955,291,1889,47.8,1257,31.8,634,16,175,4.4,809,20.5
BRONX,5,2015,Hispanic,9248,291,4406,47.6,2796,30.2,1602,17.3,444,4.8,2046,22.1
BRONX,5,2015,White,642,313,164,25.5,168,26.2,209,32.6,101,15.7,310,48.3
BRONX,6,2013,Asian,606,314,119,19.6,189,31.2,130,21.5,168,27.7,298,49.2
BRONX,6,2013,Black,4360,281,2205,50.6,1602,36.7,401,9.2,152,3.5,553,12.7
BRONX,6,2013,Hispanic,9662,282,4649,48.1,3791,39.2,909,9.4,313,3.2,1222,12.6
BRONX,6,2013,White,599,302,156,26,243,40.6,121,20.2,79,13.2,200,33.4
BRONX,6,2014,Asian,580,318,94,16.2,163,28.1,145,25,178,30.7,323,55.7
BRONX,6,2014,Black,4048,283,1929,47.7,1489,36.8,426,10.5,204,5,630,15.6
BRONX,6,2014,Hispanic,9203,283,4448,48.3,3230,35.1,1009,11,516,5.6,1525,16.6
BRONX,6,2014,White,589,304,165,28,195,33.1,108,18.3,121,20.5,229,38.9
BRONX,6,2015,Asian,610,320,93,15.2,182,29.8,136,22.3,199,32.6,335,54.9
BRONX,6,2015,Black,3767,283,1816,48.2,1293,34.3,457,12.1,201,5.3,658,17.5
BRONX,6,2015,Hispanic,9053,284,4284,47.3,3118,34.4,1085,12,566,6.3,1651,18.2
BRONX,6,2015,White,574,307,136,23.7,206,35.9,127,22.1,105,18.3,232,40.4
