Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
BRONX,3,2013,Female,7655,288,3287,42.9,2883,37.7,1094,14.3,391,5.1,1485,19.4
BRONX,3,2013,Male,8246,285,3866,46.9,2846,34.5,1122,13.6,412,5,1534,18.6
BRONX,3,2014,Female,7685,291,3076,40,2755,35.8,1371,17.8,483,6.3,1854,24.1
BRONX,3,2014,Male,8354,288,3488,41.8,2919,34.9,1413,16.9,534,6.4,1947,23.3
BRONX,3,2015,Female,7758,291,3209,41.4,2698,34.8,1292,16.7,559,7.2,1851,23.9
BRONX,3,2015,Male,7920,289,3420,43.2,2634,33.3,1231,15.5,635,8,1866,23.6
BRONX,4,2013,Female,7520,288,3126,41.6,2871,38.2,1137,15.1,386,5.1,1523,20.3
BRONX,4,2013,Male,7993,285,3613,45.2,2790,34.9,1166,14.6,424,5.3,1590,19.9
BRONX,4,2014,Female,7417,291,2926,39.4,2567,34.6,1299,17.5,625,8.4,1924,25.9
BRONX,4,2014,Male,7678,289,3245,42.3,2576,33.6,1220,15.9,637,8.3,1857,24.2
BRONX,4,2015,Female,7649,287,3209,42,2675,35,1193,15.6,572,7.5,1765,23.1
BRONX,4,2015,Male,8150,287,3509,43.1,2746,33.7,1285,15.8,610,7.5,1895,23.3
BRONX,5,2013,Female,7395,288,4078,55.1,2087,28.2,1014,13.7,216,2.9,1230,16.6
BRONX,5,2013,Male,7868,285,4611,58.6,2016,25.6,961,12.2,280,3.6,1241,15.8
BRONX,5,2014,Female,7299,296,3182,43.6,2384,32.7,1239,17,494,6.8,1733,23.7
BRONX,5,2014,Male,7584,292,3631,47.9,2264,29.9,1225,16.2,464,6.1,1689,22.3
BRONX,5,2015,Female,7212,296,3062,42.5,2328,32.3,1383,19.2,439,6.1,1822,25.3
BRONX,5,2015,Male,7408,291,3571,48.2,2090,28.2,1296,17.5,451,6.1,1747,23.6
BRONX,6,2013,Female,7429,286,3378,45.5,2893,38.9,782,10.5,376,5.1,1158,15.6
BRONX,6,2013,Male,7936,283,3806,48,2979,37.5,800,10.1,351,4.4,1151,14.5
BRONX,6,2014,Female,7096,288,3082,43.4,2569,36.2,912,12.9,533,7.5,1445,20.4
BRONX,6,2014,Male,7462,284,3605,48.3,2560,34.3,795,10.7,502,6.7,1297,17.4
BRONX,6,2015,Female,6885,290,2907,42.2,2431,35.3,969,14.1,578,8.4,1547,22.5
BRONX,6,2015,Male,7260,284,3476,47.9,2414,33.3,861,11.9,509,7,1370,18.9
BRONX,7,2013,Female,7519,284,4394,58.4,2204,29.3,776,10.3,145,1.9,921,12.2
BRONX,7,2013,Male,8049,281,4967,61.7,2178,27.1,737,9.2,167,2.1,904,11.2
BRONX,7,2014,Female,7258,289,3891,53.6,2263,31.2,899,12.4,205,2.8,1104,15.2
BRONX,7,2014,Male,7578,285,4296,56.7,2262,29.8,813,10.7,207,2.7,1020,13.5
BRONX,7,2015,Female,7064,290,3473,49.2,2307,32.7,994,14.1,290,4.1,1284,18.2
BRONX,7,2015,Male,7377,285,4012,54.4,2240,30.4,857,11.6,268,3.6,1125,15.3
BRONX,8,2013,Female,7503,285,3662,48.8,2846,37.9,808,10.8,187,2.5,995,13.3
BRONX,8,2013,Male,8114,281,4450,54.8,2690,33.2,782,9.6,192,2.4,974,12
BRONX,8,2014,Female,6569,283,3342,50.9,2365,36,687,10.5,175,2.7,862,13.1
