DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,ELL,8,283,5,62.5,3,37.5,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,EP,19,292,9,47.4,8,42.1,2,10.5,0,0,2,10.5
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,EP,17,288,9,52.9,8,47.1,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,EP,12,285,5,41.7,5,41.7,2,16.7,0,0,2,16.7
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,EP,17,278,7,41.2,9,52.9,1,5.9,0,0,1,5.9
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,ELL,7,281,5,71.4,2,28.6,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,EP,16,285,8,50,7,43.8,1,6.3,0,0,1,6.3
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,EP,16,288,5,31.3,11,68.8,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,EP,21,283,11,52.4,9,42.9,1,4.8,0,0,1,4.8
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
