DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,ELL,8,274,6,75,2,25,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,EP,19,279,10,52.6,9,47.4,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,EP,17,290,5,29.4,9,52.9,2,11.8,1,5.9,3,17.6
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,EP,13,280,8,61.5,2,15.4,2,15.4,1,7.7,3,23.1
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,EP,17,277,11,64.7,4,23.5,1,5.9,1,5.9,2,11.8
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,ELL,7,280,3,42.9,4,57.1,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,EP,16,282,6,37.5,9,56.3,1,6.3,0,0,1,6.3
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,EP,16,283,7,43.8,7,43.8,2,12.5,0,0,2,12.5
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,EP,21,271,15,71.4,5,23.8,1,4.8,0,0,1,4.8
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,EP,17,266,13,76.5,2,11.8,1,5.9,1,5.9,2,11.8
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,EP,19,275,12,63.2,5,26.3,2,10.5,0,0,2,10.5
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,ELL,13,277,9,69.2,4,30.8,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,EP,57,276,36,63.2,18,31.6,2,3.5,1,1.8,3,5.3
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,ELL,10,277,6,60,4,40,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,EP,50,279,24,48,20,40,4,8,2,4,6,12
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,ELL,7,276,5,71.4,2,28.6,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,EP,48,279,27,56.3,14,29.2,6,12.5,1,2.1,7,14.6
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,3,2013,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,3,2013,EP,34,310,7,20.6,10,29.4,10,29.4,7,20.6,17,50
01M019,P.S. 019 ASHER LEVY,3,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,3,2014,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,3,2014,EP,31,310,7,22.6,10,32.3,9,29,5,16.1,14,45.2
01M019,P.S. 019 ASHER LEVY,3,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,3,2015,EP,27,303,6,22.2,10,37,9,33.3,2,7.4,11,40.7
01M019,P.S. 019 ASHER LEVY,3,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,4,2013,ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,4,2013,EP,36,288,15,41.7,10,27.8,11,30.6,0,0,11,30.6
01M019,P.S. 019 ASHER LEVY,4,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,4,2014,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,4,2014,EP,33,315,7,21.2,8,24.2,10,30.3,8,24.2,18,54.5
01M019,P.S. 019 ASHER LEVY,4,2015,ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,4,2015,EP,29,322,4,13.8,5,17.2,10,34.5,10,34.5,20,69
01M019,P.S. 019 ASHER LEVY,4,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2013,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2013,EP,32,304,9,28.1,15,46.9,7,21.9,1,3.1,8,25
01M019,P.S. 019 ASHER LEVY,5,2013,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2014,ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2014,EP,31,296,11,35.5,13,41.9,6,19.4,1,3.2,7,22.6
01M019,P.S. 019 ASHER LEVY,5,2015,ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,5,2015,EP,28,325,3,10.7,12,42.9,7,25,6,21.4,13,46.4
01M019,P.S. 019 ASHER LEVY,5,2015,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2013,ELL,9,283,6,66.7,2,22.2,1,11.1,0,0,1,11.1
01M019,P.S. 019 ASHER LEVY,All Grades,2013,EP,102,301,31,30.4,35,34.3,28,27.5,8,7.8,36,35.3
01M019,P.S. 019 ASHER LEVY,All Grades,2013,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2014,ELL,8,314,2,25,2,25,3,37.5,1,12.5,4,50
01M019,P.S. 019 ASHER LEVY,All Grades,2014,EP,95,307,25,26.3,31,32.6,25,26.3,14,14.7,39,41.1
01M019,P.S. 019 ASHER LEVY,All Grades,2014,Former ELL,1,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2015,ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M019,P.S. 019 ASHER LEVY,All Grades,2015,EP,84,317,13,15.5,27,32.1,26,31,18,21.4,44,52.4
01M019,P.S. 019 ASHER LEVY,All Grades,2015,Former ELL,3,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,3,2013,ELL,20,297,7,35,7,35,3,15,3,15,6,30
01M020,P.S. 020 ANNA SILVER,3,2013,EP,52,298,13,25,24,46.2,13,25,2,3.8,15,28.8
01M020,P.S. 020 ANNA SILVER,3,2013,Former ELL,7,349,0,0,0,0,2,28.6,5,71.4,7,100
01M020,P.S. 020 ANNA SILVER,3,2014,ELL,20,297,6,30,8,40,6,30,0,0,6,30
01M020,P.S. 020 ANNA SILVER,3,2014,EP,69,292,29,42,18,26.1,13,18.8,9,13,22,31.9
01M020,P.S. 020 ANNA SILVER,3,2014,Former ELL,8,330,1,12.5,0,0,3,37.5,4,50,7,87.5
01M020,P.S. 020 ANNA SILVER,3,2015,ELL,7,263,6,85.7,1,14.3,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,3,2015,EP,79,301,26,32.9,22,27.8,16,20.3,15,19,31,39.2
01M020,P.S. 020 ANNA SILVER,3,2015,Former ELL,6,318,0,0,2,33.3,3,50,1,16.7,4,66.7
01M020,P.S. 020 ANNA SILVER,4,2013,ELL,13,277,8,61.5,2,15.4,3,23.1,0,0,3,23.1
01M020,P.S. 020 ANNA SILVER,4,2013,EP,57,296,15,26.3,23,40.4,15,26.3,4,7,19,33.3
01M020,P.S. 020 ANNA SILVER,4,2013,Former ELL,5,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,4,2014,ELL,10,287,5,50,2,20,2,20,1,10,3,30
01M020,P.S. 020 ANNA SILVER,4,2014,EP,51,300,16,31.4,17,33.3,10,19.6,8,15.7,18,35.3
01M020,P.S. 020 ANNA SILVER,4,2014,Former ELL,4,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,4,2015,ELL,16,294,6,37.5,4,25,4,25,2,12.5,6,37.5
01M020,P.S. 020 ANNA SILVER,4,2015,EP,68,286,30,44.1,16,23.5,12,17.6,10,14.7,22,32.4
01M020,P.S. 020 ANNA SILVER,4,2015,Former ELL,8,327,0,0,3,37.5,2,25,3,37.5,5,62.5
01M020,P.S. 020 ANNA SILVER,5,2013,ELL,16,288,10,62.5,3,18.8,2,12.5,1,6.3,3,18.8
01M020,P.S. 020 ANNA SILVER,5,2013,EP,59,291,28,47.5,22,37.3,8,13.6,1,1.7,9,15.3
01M020,P.S. 020 ANNA SILVER,5,2013,Former ELL,2,s,s,s,s,s,s,s,s,s,s,s
01M020,P.S. 020 ANNA SILVER,5,2014,ELL,10,265,10,100,0,0,0,0,0,0,0,0
01M020,P.S. 020 ANNA SILVER,5,2014,EP,54,301,18,33.3,21,38.9,11,20.4,4,7.4,15,27.8
01M020,P.S. 020 ANNA SILVER,5,2014,Former ELL,7,324,1,14.3,1,14.3,3,42.9,2,28.6,5,71.4
01M020,P.S. 020 ANNA SILVER,5,2015,ELL,9,266,8,88.9,0,0,0,0,1,11.1,1,11.1
