DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1Count,Level1Percentage,Level2Count,Level2Percentage,Level3Count,Level3Percentage,Level4Count,Level4Percentage,Level3And4Count,Level3And4Percentage
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,Female,12,274,9,75,3,25,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2013,Male,15,281,7,46.7,8,53.3,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,Female,13,280,5,38.5,7,53.8,1,7.7,0,0,1,7.7
01M015,P.S. 015 ROBERTO CLEMENTE,3,2014,Male,5,s,s,s,s,s,s,s,s,s,s,s
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,Female,7,297,3,42.9,1,14.3,2,28.6,1,14.3,3,42.9
01M015,P.S. 015 ROBERTO CLEMENTE,3,2015,Male,10,268,7,70,3,30,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,Female,12,269,9,75,3,25,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2013,Male,8,290,3,37.5,3,37.5,1,12.5,1,12.5,2,25
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,Female,9,285,5,55.6,3,33.3,1,11.1,0,0,1,11.1
01M015,P.S. 015 ROBERTO CLEMENTE,4,2014,Male,15,281,4,26.7,11,73.3,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,Female,11,278,6,54.5,5,45.5,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,4,2015,Male,6,287,2,33.3,2,33.3,2,33.3,0,0,2,33.3
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,Female,11,271,9,81.8,1,9.1,1,9.1,0,0,1,9.1
01M015,P.S. 015 ROBERTO CLEMENTE,5,2013,Male,13,277,8,61.5,5,38.5,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,Female,12,256,12,100,0,0,0,0,0,0,0,0
01M015,P.S. 015 ROBERTO CLEMENTE,5,2014,Male,9,279,5,55.6,2,22.2,1,11.1,1,11.1,2,22.2
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,Female,10,280,7,70,2,20,1,10,0,0,1,10
01M015,P.S. 015 ROBERTO CLEMENTE,5,2015,Male,14,272,9,64.3,4,28.6,1,7.1,0,0,1,7.1
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Female,35,271,27,77.1,7,20,1,2.9,0,0,1,2.9
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2013,Male,36,281,18,50,16,44.4,1,2.8,1,2.8,2,5.6
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Female,34,273,22,64.7,10,29.4,2,5.9,0,0,2,5.9
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2014,Male,29,284,10,34.5,15,51.7,2,6.9,2,6.9,4,13.8
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,Female,28,283,16,57.1,8,28.6,3,10.7,1,3.6,4,14.3
01M015,P.S. 015 ROBERTO CLEMENTE,All Grades,2015,Male,30,274,18,60,9,30,3,10,0,0,3,10
01M019,P.S. 019 ASHER LEVY,3,2013,Female,17,310,3,17.6,7,41.2,2,11.8,5,29.4,7,41.2
01M019,P.S. 019 ASHER LEVY,3,2013,Male,19,311,5,26.3,3,15.8,8,42.1,3,15.8,11,57.9
01M019,P.S. 019 ASHER LEVY,3,2014,Female,25,316,2,8,10,40,9,36,4,16,13,52
01M019,P.S. 019 ASHER LEVY,3,2014,Male,10,296,6,60,0,0,2,20,2,20,4,40
01M019,P.S. 019 ASHER LEVY,3,2015,Female,16,305,3,18.8,7,43.8,5,31.3,1,6.3,6,37.5
01M019,P.S. 019 ASHER LEVY,3,2015,Male,12,301,3,25,4,33.3,4,33.3,1,8.3,5,41.7
01M019,P.S. 019 ASHER LEVY,4,2013,Female,19,288,10,52.6,3,15.8,6,31.6,0,0,6,31.6
01M019,P.S. 019 ASHER LEVY,4,2013,Male,23,289,8,34.8,8,34.8,7,30.4,0,0,7,30.4
